true_labels	predicted_probabilities
0	0.273622734239325
0	0.593866932671517
0	0.160184813430533
1	0.853430238785222
0	0.847739157732576
1	0.477886812528595
1	0.773692122427747
1	0.295400080503896
0	0.0656281118281186
0	0.44053312484175
1	0.462098857853562
1	0.340934370178729
1	0.185140318702906
0	0.506997726857662
1	0.019191030645743
0	0.773686039494351
1	0.55966507922858
0	0.64146263920702
0	0.468432118650526
0	0.279223810648546
0	0.461216570343822
1	0.792738341726363
0	0.585565576329827
0	0.394758985843509
0	0.811237349640578
0	0.318563093896955
1	0.581447338219732
1	0.455488957930356
0	0.268803449813277
1	0.555177204776555
0	0.231230884324759
1	0.54323289799504
0	0.447570141172037
1	0.130288136890158
1	0.62172598275356
0	0.547994283260778
0	0.149244213709608
0	0.559545869240537
0	0.42688557645306
1	0.447730098385364
0	0.833294771611691
1	0.719587282743305
1	0.456886755535379
0	0.521264262963086
0	0.24245707760565
0	0.0758608346804976
0	0.391295091249049
1	0.0131082159932703
0	0.867499468615279
0	0.992615673691034
1	0.7088553882204
0	0.826715490315109
0	0.891896269517019
0	0.53941073268652
0	0.555313591845334
1	0.276439883746207
1	0.659197925822809
0	0.243435242446139
1	0.288266204763204
0	0.715780958533287
0	0.727533633122221
1	0.173043038696051
1	0.306311258813366
0	0.369907276704907
0	0.0777215543203056
1	0.713150188792497
0	0.550922729074955
0	0.135865396354347
0	0.974163694074377
0	0.561963158892468
1	0.788409381639212
0	0.848914084257558
0	0.878041774732992
0	0.800476373871788
0	0.640148486476392
1	0.628927760757506
1	0.271409004693851
0	0.0299398254137486
1	0.41986421495676
1	0.35543467104435
1	0.392331253970042
1	0.171936832368374
0	0.319642119342461
1	0.413555064238608
1	0.759335696697235
1	0.271890205098316
0	0.115582457045093
0	0.0293366149999201
1	0.806855297880247
0	0.480126436566934
1	0.806247940286994
1	0.0790056816767901
0	0.115337409544736
1	0.12941628950648
1	0.738748542033136
0	0.757098533445969
0	0.992455308558419
1	0.624552987283096
0	0.288690108573064
0	0.199911774368957
0	0.800917848711833
1	0.727762710303068
1	0.217047974700108
0	0.744238505372778
1	0.866653708275408
1	0.52940575638786
0	0.598638546885923
0	0.937632332323119
0	0.950724098365754
1	0.660532301291823
1	0.0722865809220821
1	0.826331578660756
1	0.47954407799989
0	0.391228783410043
0	0.299122775672004
1	0.244308249559253
1	0.421810131752864
1	0.937770176911727
0	0.264485116582364
1	0.568568754009902
0	0.202184567693621
1	0.192805626895279
0	0.718611745163798
0	0.313517895527184
0	0.138390127336606
1	0.0580306977499276
1	0.931099641136825
0	0.568338012089953
0	0.117770360549912
0	0.564794481499121
1	0.540256182895973
0	0.819682518485934
1	0.70297950389795
1	0.567748373607174
1	0.721309266285971
1	0.752444213489071
1	0.381422596750781
1	0.28801028127782
1	0.531683327164501
0	0.259646071353927
1	0.83179031778127
1	0.405363884754479
1	0.0726319255772978
0	0.953758624615148
1	0.217183782951906
1	0.405625266721472
1	0.62566831544973
0	0.628404803806916
1	0.328238664194942
1	0.138909491943195
0	0.91465717041865
1	0.599115967284888
0	0.749607095960528
1	0.918954745167866
0	0.528765395982191
0	0.371978746028617
0	0.0658083211164922
0	0.854369923705235
0	0.510411301394925
0	0.20999805862084
0	0.375843436690047
1	0.207365499809384
1	0.459240817232057
1	0.241502250079066
0	0.118690322386101
1	0.0724691497161984
0	0.690989849856123
0	0.286957619246095
1	0.149412495549768
0	0.972432009177282
1	0.410514390328899
1	0.401813854230568
1	0.648556348634884
1	0.916305739665404
0	0.216662138933316
0	0.547998871887103
0	0.720050457865
1	0.397246005246416
1	0.0940013926010579
1	0.634896405041218
1	0.00247881026007235
0	0.210523239802569
0	0.679022809490561
0	0.866189130349085
0	0.79969711555168
1	0.134996398352087
1	0.387498257681727
0	0.788471929030493
0	0.692913666600361
1	0.59427297138609
1	0.123857651371509
0	0.55507810274139
0	0.449411387788132
1	0.766166528686881
1	0.0260977216530591
0	0.195171431871131
0	0.881234564818442
1	0.109801593469456
0	0.968550927937031
1	0.385198592906818
1	0.85859140730463
1	0.887384754605591
1	0.48909149854444
0	0.718091808957979
1	0.486705572577193
1	0.988708860939369
1	0.0647511295974255
0	0.157662777928635
1	0.785348618403077
1	0.542188289808109
1	0.416547345230356
0	0.998882649000734
0	0.255673117004335
1	0.507875671144575
1	0.0789711775723845
1	0.813668364426121
1	0.382179160136729
0	0.802182707935572
1	0.197923636762425
0	0.946399770211428
1	0.345672474242747
0	0.522050247294828
0	0.111688006436452
0	0.885974851204082
1	0.95425497321412
1	0.0403807631228119
0	0.4936161886435
0	0.226063704816625
1	0.858800339279696
0	0.53093573381193
0	0.0046381508000195
1	0.277560080168769
1	0.325203143060207
0	0.588706276612356
1	0.249684700742364
1	0.0431172808166593
1	0.110678787576035
1	0.703753812005743
1	0.939021238824353
0	0.311169018037617
0	0.0784929301589727
1	0.321744091343135
0	0.624905536882579
1	0.440241849515587
0	0.801345300627872
0	0.279283805051818
0	0.570713193388656
1	0.0421280120499432
1	0.190717455465347
1	0.727086470695212
0	0.826690050307661
1	0.510721075348556
1	0.567726165754721
0	0.00115581974387169
0	0.143778103170916
0	0.865967083023861
0	0.0825610605534166
0	0.244570682058111
1	0.98154315748252
0	0.57758127944544
1	0.24872636445798
1	0.614953953772783
1	0.0317573207430542
0	0.146423544269055
1	0.703072973992676
0	0.065560708520934
1	0.621807062299922
0	0.937327365390956
0	0.0878946147859097
0	0.972803509328514
0	0.0260107105132192
0	0.725227952003479
0	0.453706391621381
1	0.566182404989377
0	0.87273104628548
1	0.55456317961216
0	0.737652207259089
0	0.62312916200608
0	0.311028405791149
0	0.392196484608576
1	0.202087455429137
1	0.852780389599502
0	0.606830150820315
0	0.75609801383689
0	0.562516808742657
1	0.275899012805894
1	0.735558403655887
1	0.549279793864116
0	0.346127043943852
1	0.514965634793043
0	0.815767947584391
0	0.526272569317371
0	0.203040049877018
0	0.848107680445537
0	0.370494215050712
1	0.303325170883909
1	0.770597046939656
1	0.733448554994538
0	0.838905998272821
0	0.569048842415214
1	0.02628083829768
1	0.486127228243276
0	0.542681032791734
1	0.836660116910934
0	0.728664538124576
0	0.555113806854934
1	0.0734143974259496
0	0.136502299224958
0	0.684608696261421
0	0.0996219362132251
1	0.203785905148834
0	0.365980138303712
1	0.846195757621899
0	0.236872595502064
1	0.704877850599587
1	0.107608830789104
1	0.779068868607283
1	0.25510568334721
0	0.548043326009065
0	0.0339015207719058
0	0.806109476136044
1	0.337752807186916
0	0.916285858023912
0	0.357106417883188
1	0.975365013116971
0	0.384378522634506
0	0.488673535175622
1	0.490776231279597
0	0.0122546241618693
1	0.641473200637847
1	0.512574971653521
1	0.320352118229493
0	0.58143315766938
0	0.617344408296049
0	0.438274537678808
0	0.170368980616331
1	0.715080496622249
0	0.747786548687145
0	0.843914708122611
0	0.534759046975523
0	0.302235261537135
1	0.456518182065338
1	0.384342534467578
0	0.249046854674816
1	0.654626744799316
0	0.95532370172441
0	0.291082957293838
0	0.650189086562023
1	0.536359930876642
0	0.597451866604388
0	0.0248982694465667
0	0.00484173954464495
1	0.131378254387528
0	0.0248171037528664
0	0.0921294519212097
1	0.475558224134147
0	0.196656761225313
0	0.814673948567361
0	0.244059228105471
1	0.488807637942955
1	0.648882479639724
0	0.158716470003128
0	0.836977910948917
0	0.436596529791132
1	0.233495525084436
0	0.298855992034078
1	0.159421336837113
0	0.585567104164511
1	0.14877797709778
0	0.179059559712186
0	0.339221504982561
0	0.18390193884261
1	0.405541522195563
1	0.613559618359432
0	0.685671334387735
0	0.823525600135326
1	0.373982113786042
0	0.952841004589573
0	0.0188321589957923
1	0.61237497231923
0	0.463573763845488
1	0.354729620506987
1	0.882423028815538
1	0.075802858453244
1	0.88329119165428
1	0.188221835764125
1	0.215066746808589
1	0.869532291544601
1	0.0608380562625825
0	0.234899600734934
1	0.993015512824059
0	0.678197727771476
0	0.435486800502986
0	0.37730994191952
0	0.46118402434513
0	0.801851871656254
0	0.662966975243762
0	0.46600366407074
1	0.053259436506778
1	0.23719791835174
0	0.233239737572148
0	0.230653600767255
0	0.0617262739688158
0	0.497118609258905
0	0.24412508867681
0	0.758185538928956
1	0.547302677528933
0	0.948066896293312
1	0.0861721923574805
0	0.947882584994659
1	0.722398868063465
1	0.922004604712129
1	0.613840943668038
1	0.160966501338407
1	0.18294069217518
0	0.730183562031016
1	0.589525650488213
0	0.312482362613082
0	0.772794398944825
0	0.336298202164471
0	0.855676691047847
0	0.580528493504971
0	0.415722651407123
0	0.932572785299271
0	0.4626988414675
0	0.0993463299237192
1	0.465449363226071
1	0.984083857620135
0	0.925272865919396
0	0.43539876351133
0	0.869720715796575
1	0.300354171777144
1	0.797972631175071
0	0.800510711967945
1	0.386925696162507
0	0.38158969511278
1	0.645515614189208
0	0.861667454242706
1	0.656632670899853
0	0.516326073557138
0	0.148781583411619
0	0.612765902886167
1	0.0419668189715594
1	0.498358992626891
0	0.739508221624419
1	0.753899779403582
1	0.0630937411915511
1	0.442481933394447
1	0.500671699177474
1	0.270243100356311
1	0.598802149062976
0	0.73583762627095
1	0.713577811839059
1	0.116492936853319
1	0.57512061833404
0	0.798131987219676
1	0.231823796639219
1	0.724855825537816
0	0.838023197837174
1	0.118838570779189
1	0.958950396627188
0	0.747764584375545
1	0.810889478772879
