age	salary
23.5061590280384	17830.9626676424
55.4051709361374	40546.39519025
49.2831899039447	35239.6025929569
31.7218706011772	26696.070980528
59.0240279957652	44761.8709777836
44.3945215735584	31757.5266145335
36.1324899084866	28945.315276968
56.2621345650405	43974.0531017964
33.7828676961362	21923.5534452823
52.2931586485356	34269.255402215
21.1305962409824	25943.9843820253
50.9931275527924	37329.5620879191
25.2338116802275	19428.2408051627
55.9560540039092	42409.1961878584
58.8909559696913	43796.1159527465
41.7778276279569	28136.0808000993
46.45881973207	30814.1414030465
46.027042819187	31738.6552995221
49.8280199524015	32307.6409392779
59.4848276674747	41934.821248086
45.2290996629745	31205.8966519654
22.7372107375413	22542.9031584432
58.1096504814923	44917.9781902081
40.433322712779	29593.4454960685
24.2012215219438	16303.6610275292
45.6636111345142	33963.8416796134
42.6516603678465	30135.9444949773
24.0013366471976	21132.8553030039
47.2478459309787	30719.3498862366
40.9952679555863	25647.0041691894
22.4668290931731	15834.0448197778
29.5699616521597	21704.8470236956
26.9067041855305	18504.6985193585
36.1326111294329	22924.8230796574
54.7384166996926	41146.20257632
39.5697290077806	27347.3594715842
55.3648357186466	38498.585526928
55.4284314531833	40389.705503552
34.9035287555307	24919.8752677662
44.5182778220624	28949.9925438604
52.9624420125037	38244.8264946424
45.143235726282	28308.0856992786
33.9412025082856	23150.2466350108
36.1258298810571	25729.4971706241
24.0552319679409	22314.4770006606
28.1135132350028	19111.6936200171
54.4263581931591	40878.4148542804
50.3162737283856	34296.6058660256
43.1349126901478	28618.1269783294
24.6798543073237	23379.4485703859
46.2669054884464	32093.4385024829
20.9539185930043	18250.5894765995
51.963573647663	34955.6575698185
52.6825235784054	32825.3918516539
21.9799439143389	20845.5949022425
55.306949429214	38174.2018162324
49.2177458666265	39372.882831118
35.4276419151574	26950.2066388959
39.7942820098251	27851.9560944173
45.3580301068723	36879.210039445
52.5680674705654	41717.6663103218
29.967572176829	20592.4598872998
55.6697826646268	36865.3173352716
25.5016362946481	21426.8701810296
53.4855404589325	38220.0594967377
50.6318782456219	37032.56691216
41.2669966556132	33801.3863165624
20.5039606615901	17398.0038125772
23.8751689437777	20619.9567269852
25.4464839957654	26823.9148481513
32.8014922421426	22095.1663989505
31.1950939241797	26513.9147373816
56.7055713757873	38056.4699176907
36.9471549335867	27549.383732839
49.9542983993888	33025.1186404969
58.9269359596074	42084.1054652559
55.8086419384927	40299.910262496
35.9793428145349	26605.2040270367
59.9014896340668	46353.9108637277
54.3120105750859	39618.5264410954
33.4328772500157	21794.4970353863
50.362753495574	39043.7276292423
28.47446273081	21995.11156388
24.5536750555038	18439.4263959754
28.3282287046313	19759.144349308
23.8512602075934	21784.9572408705
21.7228597681969	19041.673932231
56.6331592481583	36472.1305636047
41.479028724134	29399.7321555872
44.1692764684558	29288.843211929
33.5110312700272	22096.3045179487
43.0784911848605	29197.2937658288
37.6369156409055	29060.8479748097
50.5723996832967	33200.4455843667
31.6371217370033	23476.9104491058
32.2316125035286	22809.4503028399
31.8151276092976	26396.7545386358
22.6058848854154	18341.8252856919
56.7719788383693	42465.5326157643
42.3457018658519	30296.4777996612
43.9405881427228	31184.1745665977
23.3310043811798	18921.9947547628
39.0087464358658	26484.4645471622
26.8684468884021	24088.1920866803
26.8789088074118	18566.9586928145
49.652814688161	36751.8607235305
49.7238782513887	30966.8494047757
39.4148020539433	30427.0986268778
37.2703687474132	23707.9770882628
30.3339462075382	22169.392454526
47.2621702682227	36167.435931482
57.8984886407852	43729.0418346659
42.1226720139384	27963.9189144265
46.1699079256505	31254.4352311034
31.3563080877066	16316.9345888626
58.5691950749606	41886.0813604988
39.3714870419353	29021.5656509631
41.1057265195996	26063.4196138211
36.767635224387	23494.235439746
54.4992575235665	35936.5333427647
