x	y
-41.5278732976876	-37085.7832628933
-12.2676010685973	5698.69279137023
-14.5378778902814	-6247.70745704059
-46.1914246543311	-48036.7810288537
-31.2982820090838	-24925.1768525942
-14.1685949922539	83.9139300848858
-22.7856161857489	-1395.03638439113
-49.4035009115469	-52084.1913829185
-18.8221086880658	2957.06799956769
-22.8287771176547	2266.35862707918
-28.5663317150902	-4275.4762568712
-14.3976320000365	-536.078361519492
-28.6376716492232	-20202.8715352002
-38.5018297692295	-19363.7041661283
-26.2325333994813	-2573.49774278444
-42.5107620845083	-35182.1008748979
-15.8197948937304	-5090.09819572615
-17.5020199033897	-4315.23378737306
-13.5400660312735	-8418.7905892917
-38.9096274510957	-19860.0613549213
-37.1087121975143	-15653.27376901
-17.2671379668172	-5800.51322266872
-47.8946915536653	-50195.0934455781
-11.3438667529263	-6850.45848817976
-22.1088540297933	-4487.89254238447
-48.7274161358364	-53240.0521095449
-45.3721936796792	-44780.3723591362
-15.8546313068364	-1455.09847418598
-45.959609844489	-54986.2030711165
-1.61247784201987	-3946.83298125129
-2.72050414676778	9892.85416457392
-43.9578767782077	-48488.494406363
-40.7430276703089	-29066.232416993
-11.4921403646003	-6767.85706395228
-29.5453101010062	-11593.7048360271
-38.6110350240488	-26383.2326619844
-41.0944818253629	-35786.7687012072
-45.9423803549726	-49258.7129571606
-19.7303696556482	2804.37825236208
-30.4054624794517	-4938.10358680766
-44.143799321726	-41301.9404063552
-44.8282955277245	-45502.048200651
-27.1241299961694	-11140.991269424
-49.6441149676684	-62468.0106765248
-18.0498245544732	-4574.64182726389
-8.1683689833153	2341.31585609293
-42.2603104647715	-39388.3363765626
-21.1575040393509	-2740.92555745188
-27.4360682081897	-6475.67886942235
-24.3807186461054	-21540.8481202275
-43.7703865764197	-34056.4588839049
-10.6674564527348	-22.4611423053909
-34.3097362953704	-33380.5096060756
-14.5003791083582	-833.554706760401
-36.729514806997	-13476.7194586908
-34.6005325063597	-26291.5320114705
-41.5043736770749	-38775.2556030557
-27.2790526561439	-25800.2744570324
-9.20583161339164	995.869247475319
-18.2280730349012	-14930.696515173
-26.9498337067198	-14228.5752428298
-49.006228612503	-59344.3694886058
-23.2386028901674	-13579.2233941491
-12.958439656999	2730.43175697977
-20.4475029623136	-5875.04550157778
-2.7589882297907	9031.31770108671
-4.58285129931755	9948.37351307488
-35.9144022709224	-16960.5910165056
-13.3932613811921	-3609.61916564502
-16.0952337374911	-9505.54157089883
-7.81331698014401	-6831.6826474388
-7.40371783007868	-1595.44295053944
-47.9307626620866	-50124.2796162644
-16.0863356690388	-8738.72681478457
-12.1895781338681	2546.53161011948
-1.51876580924727	-8494.88222593621
-4.34118949086405	-6482.55093099992
-46.2325051410589	-41926.8548558357
-17.7708669819403	-387.25837195755
-2.24568883143365	-3407.70258555261
-36.050949893659	-19252.9191994598
-10.7740923424717	8949.25534832454
-4.04262933903374	-3215.47730108278
-21.7346641009208	-6209.46605371085
-43.8620545007288	-46387.7984462051
-24.1911963834427	-20070.948450944
-17.5911110469606	7094.14303324355
-5.57023397367448	-1732.84721563225
-16.9333952276502	1414.93935375663
-18.3460665608291	-2685.70567292291
-35.7064376710914	-22087.4707235442
-1.22345054312609	900.823683642323
-47.9911170890555	-60801.9698162699
-14.7134930256288	6403.93273353888
-16.752012217883	-10416.866130447
-38.1317110583186	-22394.0222814235
-39.0711578028277	-33872.4554261669
-14.5770201869309	-1534.10772100997
-40.5978237295058	-40934.3772757078
-1.02862582402304	-11358.0230053932
-48.7159094221424	-54835.9882123296
-6.47867591748945	-72.2253951124451
-6.80784445186146	-4909.57869905953
-4.62596361874603	-7718.90707777903
-3.93899054941721	-3608.92739340447
-35.3289601651486	-23250.7186073604
-39.8427579733543	-27411.8889475057
-14.6536794395652	10382.6907095708
-9.2715138241183	-10234.7357514438
-34.722232628148	-15513.496788653
-35.0976711139083	-16852.2834592897
-33.4486389912199	-21448.694479067
-1.57673350162804	7946.95949426975
-8.69309371709824	10022.0892223089
-15.1880677770823	8512.6942705017
-33.3467853895854	-16839.6535952252
-18.2850070646964	-2965.63711198117
